Anonymous Company id,Geo,"Account Churned?  (1=Yes, 0=No)",Year of Change,Month of Change,nbr of days since last account operation,nbr of days since last document operation,docs opened on mobile,docs opened in reports,docs opened on web,docs opened any source,docs tagged on mobile,docs tagged on web,docs shared any source,docs chg sentiment any source,docs hidden any source,mobile logins,web logins,mobile foreground,forgot password
132,Geo 1,0,2017,6,204,80,29,39,6,74,0,0,15,0,0,1,6,98,0
134,Geo 2,1,2017,3,1,25,0,13,12,25,0,0,0,0,0,0,1,0,0
134,Geo 2,1,2017,7,1,12,0,12,0,12,0,0,0,0,0,0,1,0,0
136,Geo 2,0,2017,3,19,116,0,48,45,93,0,0,30,0,0,0,10,0,0
137,Geo 2,0,2017,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Geo 2,0,2017,7,6,105,0,89,3,92,0,0,0,0,0,0,3,0,0
139,Unknown,1,2017,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Unknown,1,2017,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Geo 1,0,2017,1,22,54,5,39,11,55,1,0,1,0,0,0,0,5,0
142,Unknown,1,2017,1,,1,0,1,0,1,0,0,0,0,0,0,0,0,0
143,Geo 1,1,2017,4,15,170,0,152,16,168,0,0,0,2,0,0,0,0,0
143,Geo 1,1,2017,6,4,146,0,139,7,146,0,0,0,0,0,0,0,0,0
145,Geo 1,0,2017,3,,93,0,93,0,93,0,0,0,0,0,0,0,0,0
146,Unknown,1,2017,1,9,13,0,0,13,13,0,0,0,0,0,0,6,0,0
147,Geo 3,0,2017,8,1315,6466,5,802,3458,4265,4,852,3197,2,0,8,1103,78,0
148,Geo 3,0,2017,3,2,1,0,0,1,1,0,0,0,0,0,0,2,0,0
149,Geo 1,1,2017,3,25,36,0,0,36,36,0,0,0,0,0,0,25,0,0
150,Geo 3,0,2017,8,104,605,0,73,530,603,0,2,0,0,0,1,85,5,0
151,Geo 3,0,2017,3,166,429,0,45,384,429,0,0,0,0,0,0,164,0,0
152,Geo 3,0,2017,2,22,26,0,6,20,26,0,1,0,0,0,0,20,0,0
152,Geo 3,0,2017,8,79,44,0,7,37,44,0,0,0,0,0,0,78,0,0
154,Geo 1,0,2017,3,10,21,0,18,3,21,0,0,0,0,0,0,2,1,0
155,Geo 3,0,2017,6,13,1,0,0,1,1,0,0,0,0,0,0,9,0,0
156,Geo 3,0,2017,4,90,1137,21,548,76,645,2,39,624,0,0,1,29,13,0
157,Geo 3,0,2017,6,253,825,17,554,79,650,2,351,13,0,0,0,74,80,0
158,Geo 1,1,2017,9,21,37,4,32,0,36,0,0,1,0,0,0,1,9,0
159,Geo 1,0,2017,5,518,1793,463,3,408,877,820,482,4,73,0,6,80,218,0
160,Geo 2,0,2017,5,5,,0,0,0,0,0,0,0,0,0,0,4,0,0
161,Geo 1,0,2017,4,69,187,0,104,48,152,0,0,35,0,0,0,30,0,0
162,Geo 1,0,2017,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Geo 2,0,2017,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Geo 2,0,2017,7,27,209,0,195,14,209,0,0,0,0,0,1,6,2,0
165,Geo 2,0,2017,4,17,103,0,32,70,102,0,0,1,0,0,0,11,1,0
166,Geo 2,0,2017,6,119,208,12,52,125,189,0,0,19,0,0,2,17,35,0
167,Geo 2,0,2017,7,,2,0,2,0,2,0,0,0,0,0,0,0,0,0
168,Geo 2,0,2017,1,3,34,0,11,0,11,0,0,25,0,0,0,3,0,0
169,Geo 2,0,2017,3,,15,0,15,0,15,0,0,0,0,0,0,0,0,0
170,Geo 2,1,2017,8,,22,0,22,0,22,0,0,0,0,0,0,0,0,0
171,Geo 2,0,2017,5,37,159,0,57,5,62,0,0,0,99,0,0,23,0,0
171,Geo 2,0,2017,7,23,49,0,33,8,41,0,0,0,0,8,0,19,0,0
171,Geo 2,0,2017,8,15,39,0,23,8,31,0,0,0,0,8,0,15,0,0
171,Geo 2,0,2017,9,9,26,0,17,1,18,0,0,0,0,8,0,8,0,0
175,Geo 2,1,2017,6,,33,0,33,0,33,0,0,0,0,0,0,0,0,0
176,Geo 2,0,2017,5,4,77,0,50,1,51,0,0,26,0,0,0,2,0,0
177,Geo 2,0,2017,8,147,393,0,19,374,393,0,96,0,0,0,0,142,0,0
178,Geo 1,0,2017,5,23,144,4,120,3,127,0,0,22,0,0,1,3,5,0
179,Unknown,1,2017,6,2,385,0,382,3,385,0,0,0,0,0,0,2,0,0
180,Geo 1,0,2017,5,,6,0,6,0,6,0,0,0,0,0,0,0,0,0
181,Geo 1,0,2017,5,1,12,0,12,0,12,0,0,0,0,0,0,1,0,0
181,Geo 1,0,2017,9,5,10,0,10,0,10,0,0,0,0,0,0,2,0,0
183,Geo 1,1,2017,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Geo 1,0,2017,4,1,40,0,40,0,40,0,0,0,0,0,0,0,0,0
185,Geo 1,0,2017,2,3,63,0,53,10,63,0,0,0,0,0,0,0,0,0
185,Geo 1,0,2017,6,2,33,0,33,0,33,0,0,0,0,0,0,0,0,0
187,Geo 1,0,2017,2,1,98,0,98,0,98,0,0,0,0,0,0,1,0,0
188,Geo 1,0,2017,1,102,2037,5,1798,232,2035,0,0,3,0,0,1,36,12,0
188,Geo 1,0,2017,2,156,1916,26,1656,231,1914,0,0,4,0,0,5,47,39,0
188,Geo 1,0,2017,3,308,2504,65,2188,231,2485,0,3,25,0,0,9,81,92,0
188,Geo 1,0,2017,5,494,4263,103,3966,162,4231,0,3,40,0,2,6,128,159,0
188,Geo 1,0,2017,6,430,4526,95,4298,95,4488,1,0,44,0,2,4,95,151,0
188,Geo 1,0,2017,9,468,5184,59,4981,127,5167,0,0,28,0,0,3,74,188,0
194,Geo 1,0,2017,3,2,37,0,37,0,37,0,0,0,0,0,1,0,0,0
194,Geo 1,0,2017,7,152,51,29,21,0,50,0,0,2,0,0,8,2,67,0
196,Geo 1,0,2017,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Geo 1,0,2017,6,6,32,0,26,6,32,0,0,0,0,0,0,1,0,0
198,Geo 1,0,2017,1,,2,0,2,0,2,0,0,0,0,0,0,0,0,0
199,Geo 1,0,2017,3,37,67,7,52,7,66,1,0,1,0,0,2,2,12,0
200,Geo 1,0,2017,5,7,50,0,46,4,50,0,0,0,0,0,0,1,0,0
201,Geo 2,0,2017,8,75,311,7,264,39,310,0,0,0,0,0,3,9,10,0
202,Geo 2,0,2017,7,,35,0,35,0,35,0,0,0,0,0,0,0,0,0
203,Geo 1,0,2017,5,,2,0,2,0,2,0,0,0,0,0,0,0,0,0
204,Geo 1,0,2017,3,14,88,0,87,1,88,0,0,0,0,0,0,9,0,0
205,Geo 2,1,2017,3,,16,0,16,0,16,0,0,0,0,0,0,0,0,0
206,Geo 1,0,2017,3,35,400,1,330,67,398,0,11,3,0,0,1,8,4,0
206,Geo 1,0,2017,6,44,232,2,180,42,224,1,0,8,0,0,1,14,8,0
206,Geo 1,0,2017,7,53,238,2,158,56,216,1,5,31,0,0,1,21,8,0
206,Geo 1,0,2017,9,75,316,0,188,114,302,0,18,23,0,0,1,46,1,0
210,Geo 2,1,2017,7,,24,0,24,0,24,0,0,0,0,0,0,0,0,0
211,Geo 2,0,2017,3,59,486,0,0,486,486,0,0,0,0,0,0,1,0,0
212,Geo 2,0,2017,5,3,180,0,167,13,180,0,0,0,0,0,0,2,0,0
213,Geo 2,0,2017,7,9,28,0,26,0,26,2,0,0,0,0,1,0,4,0
214,Geo 1,0,2017,7,168,151,0,89,5,150,0,0,2,0,0,0,29,67,0
215,Geo 1,0,2017,1,27,185,0,51,40,91,0,31,101,0,0,0,14,0,0
216,Geo 2,1,2017,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Geo 2,0,2017,4,53,52,0,6,46,52,0,0,0,0,0,0,51,0,0
218,Geo 3,0,2017,3,26,80,0,50,29,79,0,4,0,1,0,0,19,0,0
218,Geo 3,0,2017,7,40,107,0,93,13,106,0,0,0,1,0,0,39,0,0
220,Geo 3,0,2017,6,1,37,0,37,0,37,0,0,0,0,0,0,1,0,0
221,Geo 2,0,2017,7,2,41,0,40,1,41,0,0,0,0,0,0,0,0,0
222,Unknown,1,2017,8,2,,0,0,0,0,0,0,0,0,0,0,2,0,0
223,Geo 3,0,2017,4,10,172,0,169,3,172,0,0,0,0,0,0,5,0,0
224,Geo 3,0,2017,6,2,30,0,26,4,30,0,0,0,0,0,0,1,0,0
225,Geo 3,0,2017,4,3,60,0,4,47,51,0,21,9,0,0,0,0,0,0
226,Geo 1,0,2017,8,90,153,33,79,21,133,36,0,5,0,0,1,1,38,0
227,Geo 1,0,2017,3,119,843,4,785,54,843,0,0,0,0,0,0,83,13,0
228,Geo 1,0,2017,7,40,53,1,43,0,44,0,0,4,0,0,3,11,10,0
229,Geo 1,1,2017,8,23,197,0,49,145,194,0,816,3,0,0,0,5,0,0
230,Geo 1,0,2017,8,66,225,14,92,109,215,6,11,8,0,0,1,10,22,0
231,Geo 1,0,2017,3,109,386,27,293,58,385,0,0,3,0,0,3,8,32,0
231,Geo 1,0,2017,4,105,469,26,410,23,468,0,0,3,0,0,3,8,37,0
231,Geo 1,0,2017,5,83,503,13,475,5,503,0,0,0,0,0,3,4,33,0
231,Geo 1,0,2017,9,32,345,4,338,0,345,0,0,1,0,0,0,0,9,0
235,Geo 1,0,2017,9,,4,0,4,0,4,0,0,0,0,0,0,0,0,0
236,Geo 1,0,2017,6,46,43,0,0,12,12,0,0,0,31,0,0,45,0,0
237,Geo 1,0,2017,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Geo 1,0,2017,1,6,209,0,158,49,207,0,0,2,0,0,0,0,0,0
238,Geo 1,0,2017,5,12,672,0,559,113,672,0,0,0,0,0,0,5,0,0
238,Geo 1,0,2017,8,22,2440,0,2350,91,2441,0,0,0,0,0,0,10,0,0
241,Geo 1,0,2017,3,,23,0,23,0,23,0,0,0,0,0,0,0,0,0
242,Geo 1,0,2017,3,,8,0,8,0,8,0,0,0,0,0,0,0,0,0
242,Geo 1,0,2017,6,96,69,8,34,21,65,4,3,0,0,0,2,5,19,0
242,Geo 1,0,2017,9,63,53,1,35,17,53,0,0,0,0,0,1,4,1,0
245,Geo 2,0,2017,8,,129,0,130,0,130,0,0,0,0,0,0,0,0,0
246,Geo 2,0,2017,6,18,462,0,365,94,459,0,0,3,0,0,0,9,0,0
247,Geo 2,0,2017,7,34,230,15,50,7,72,0,0,0,208,0,0,5,12,0
248,Geo 1,0,2017,8,29,63,1,62,0,63,0,0,0,0,0,3,3,11,0
249,Geo 2,0,2017,3,3,102,0,96,6,102,0,0,0,0,0,0,3,0,0
250,Geo 2,0,2017,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Geo 2,1,2017,3,4,146,0,146,0,146,0,0,0,0,0,0,3,0,0
252,Geo 1,0,2017,1,5,223,0,223,0,223,0,0,0,0,0,0,2,0,0
253,Geo 2,0,2017,9,1,,0,0,0,0,0,0,0,0,0,0,1,0,0
254,Geo 2,1,2017,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Geo 2,0,2017,4,,6,0,6,0,6,0,0,0,0,0,0,0,0,0
256,Geo 2,1,2017,9,14,73,0,12,61,73,0,0,0,0,0,0,14,0,0
257,Geo 2,0,2017,3,3,50,0,50,0,50,0,0,0,0,0,0,3,0,0
258,Geo 2,0,2017,3,1,396,0,393,3,396,0,0,0,0,0,0,1,0,0
259,Geo 2,0,2017,9,10,39,0,14,1,15,0,0,49,2,0,0,8,0,0
260,Geo 2,1,2017,5,,1,0,1,0,1,0,0,0,0,0,0,0,0,0
260,Geo 2,1,2017,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Geo 2,0,2017,8,35,364,0,289,0,289,0,0,0,0,0,0,19,0,0
263,Geo 2,0,2017,9,,655,0,655,0,655,0,0,0,0,0,0,0,0,0
264,Geo 2,0,2017,4,7,245,0,204,41,245,0,0,0,0,0,0,2,0,0
265,Geo 2,0,2017,8,9,5,0,5,0,5,0,0,0,0,0,0,6,0,0
266,Geo 2,0,2017,8,358,932,76,141,626,843,28,393,77,0,0,0,105,122,0
267,Geo 2,0,2017,3,,384,0,384,0,384,0,0,0,0,0,0,0,0,0
267,Geo 2,0,2017,6,1,291,0,291,0,291,0,0,0,0,0,0,1,0,0
269,Geo 2,0,2017,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Geo 2,1,2017,1,,4,0,4,0,4,0,0,0,0,0,0,0,0,0
271,Geo 2,1,2017,6,,2,0,2,0,2,0,0,0,0,0,0,0,0,0
272,Geo 2,1,2017,9,10,155,0,151,4,155,0,0,0,0,0,0,8,0,0
273,Geo 2,0,2017,8,61,236,4,44,7,55,0,0,142,49,0,5,2,22,0
274,Geo 2,0,2017,8,12,187,0,183,4,187,0,0,0,0,0,0,6,0,0
275,Geo 2,1,2017,6,,7,0,7,0,7,0,0,0,0,0,0,0,0,0
276,Geo 2,0,2017,7,1,77,0,77,0,77,0,0,0,0,0,0,1,0,0
277,Geo 2,1,2017,4,46,126,19,98,4,125,0,0,1,0,0,1,6,16,0
278,Geo 2,1,2017,4,2,,0,0,0,0,0,0,0,0,0,0,1,0,0
279,Geo 2,0,2017,4,17,8,0,6,2,8,0,0,0,0,0,0,17,0,0
280,Geo 3,0,2017,6,21,235,0,226,9,235,0,0,0,0,0,0,21,0,0
281,Geo 3,1,2017,3,209,1933,13,689,501,1203,538,293,1,0,0,4,25,91,0
281,Geo 3,1,2017,6,129,1280,14,449,265,728,369,365,0,0,0,0,27,52,0
283,Geo 3,0,2017,4,31,44,5,33,1,40,1,0,3,0,0,2,1,12,0
284,Geo 1,0,2017,6,30,217,0,0,155,155,0,0,0,62,0,0,30,0,0
285,Geo 1,0,2017,1,44,193,7,163,13,183,0,0,9,0,0,1,7,12,0
286,Geo 1,0,2017,3,148,497,6,484,2,492,1,0,2,0,0,0,12,71,0
287,Geo 1,1,2017,6,,6,0,6,0,6,0,0,0,0,0,0,0,0,0
288,Geo 1,0,2017,5,,23,0,23,0,23,0,0,0,0,0,0,0,0,0
289,Geo 1,0,2017,2,6,17,0,17,0,17,0,0,0,0,0,1,0,3,0
289,Geo 1,0,2017,8,,34,0,34,0,34,0,0,0,0,0,0,0,0,0
291,Geo 1,1,2017,9,,2,0,2,0,2,0,0,0,0,0,0,0,0,0
292,Geo 2,1,2017,5,7,46,0,35,10,45,0,0,0,0,0,0,1,0,0
293,Geo 1,0,2017,4,7,78,0,77,1,78,0,0,0,0,0,1,0,5,0
294,Geo 1,0,2017,6,,104,0,104,0,104,0,0,0,0,0,0,0,0,0
295,Unknown,1,2017,6,,189,0,189,0,189,0,0,0,0,0,0,0,0,0
296,Geo 1,1,2017,5,2,91,0,91,0,91,0,0,0,0,0,0,1,0,0
297,Geo 1,0,2017,9,43,61,0,55,4,59,1,0,1,0,0,1,6,15,0
298,Geo 1,1,2017,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Geo 1,0,2017,3,14,139,2,76,24,102,0,19,1,2,30,1,4,4,0
300,Geo 1,1,2017,9,2,12,0,10,2,12,0,0,0,0,0,0,2,0,0
301,Geo 1,0,2017,6,6,18,0,7,11,18,0,0,0,0,0,0,4,0,0
302,Geo 1,0,2017,3,17,328,0,317,11,328,0,15,0,0,0,0,5,0,0
303,Geo 1,0,2017,2,8,215,0,0,215,215,0,0,0,0,0,0,8,0,0
304,Geo 1,0,2017,7,13,18,0,18,0,18,0,0,0,0,0,0,13,0,0
305,Geo 1,0,2017,8,,1,0,1,0,1,0,0,0,0,0,0,0,0,0
